x	y	kxx	kxy	kyy
545.743	452.467	0.00483335	-0.000189091	0.00506082
675.19	444.95	0.00497729	-6.17181e-05	0.00492467
806.385	438.798	0.00486043	7.24123e-05	0.0049459
934.793	434.2	0.0050554	0.000113682	0.00507137
548.591	581.766	0.00494391	-8.14464e-05	0.00509092
680.585	575.512	0.00461491	3.09774e-05	0.00473078
814.418	569.123	0.00464138	-1.94906e-05	0.0050332
945.286	562.812	0.00466632	7.29541e-05	0.00504205
553.346	714.451	0.00464023	5.34631e-05	0.00482961
686.477	709.742	0.004672	-1.38059e-05	0.00480779
821.451	703.143	0.00473885	-1.35769e-05	0.00475006
953.371	695.167	0.00470466	-5.85384e-05	0.00510605
95.7494	384.447	0.00400048	5.03969e-05	0.00425181
247.254	379.245	0.00398529	5.15343e-05	0.00439582
390.286	377.253	0.00411382	7.09063e-05	0.00479954
520.165	377.814	0.00432885	0.000158766	0.00552405
101.194	551.525	0.00403423	2.63406e-06	0.00441411
252.028	538.933	0.00383215	-1.60425e-06	0.00428874
394.511	527.902	0.00401597	-3.62934e-05	0.00505111
523.971	518.684	0.00409107	-7.36096e-06	0.00536565
116.953	715.163	0.00402488	-2.70057e-05	0.0042711
264.129	695.675	0.00404748	-7.55847e-05	0.00449228
403.396	676.294	0.00411929	-0.000124545	0.0049583
530.112	657.831	0.0044576	-0.000327969	0.00563894
1011.9	405.436	0.00589955	-0.00105466	0.00946184
1097.2	395.103	0.00522887	-0.000861803	0.00804048
1194.44	384.298	0.00503612	-0.000684991	0.0068768
1303.99	373.247	0.00532752	-0.000593755	0.00624141
1004.53	515.94	0.0057399	-0.000763317	0.00901276
1090.75	514.514	0.00501311	-0.000473644	0.00793253
1189.63	513.195	0.0047563	-0.000455972	0.00658421
1301.55	512.129	0.0047451	-0.000348214	0.00580515
994.465	628.963	0.00567575	-0.000422886	0.00904383
1080.52	636.973	0.00471479	-0.000144645	0.00773259
1179.32	645.968	0.00464492	-0.000198906	0.00650968
1291.42	655.798	0.00484025	-0.000137144	0.00583971
560.321	655.834	0.00719016	-0.000510698	0.00457101
693.62	657.349	0.00686749	-0.000219203	0.00449321
